theme_instance_id,run_id,snapshot_id,trade_date,timestamp,theme_path_id,members_json,member_count,source_layers_json,consensus_score,structure_score,cross_layer_consensus_score,flow_support_score,dtw_flow_support_score,volume_support_score,large_trade_support_score,stability_score,semantic_coherence_score,theme_quality_score,theme_quality_breakdown_json,keep_status,reject_reason
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1505_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1505,2026-01-02,2026-01-02 23:05:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1510_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1510,2026-01-02,2026-01-02 23:10:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1515_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1515,2026-01-02,2026-01-02 23:15:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1520_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1520,2026-01-02,2026-01-02 23:20:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1525_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1525,2026-01-02,2026-01-02 23:25:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1530_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1530,2026-01-02,2026-01-02 23:30:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1535_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1535,2026-01-02,2026-01-02 23:35:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1540_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1540,2026-01-02,2026-01-02 23:40:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1545_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1545,2026-01-02,2026-01-02 23:45:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
pilot_2026_01_02_limit2_auto_tz_2026-01-02_1550_theme_001,pilot_2026_01_02_limit2_auto_tz,pilot_2026_01_02_limit2_auto_tz_2026-01-02_1550,2026-01-02,2026-01-02 23:50:00,pilot_2026_01_02_limit2_auto_tz_path_001,"[""A"", ""AA""]",2,"[""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]",0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""version"": ""v1"", ""weights"": {""return_corr_graph"": 0.25, ""dtw_return_similarity_graph"": 0.2, ""flow_alignment_graph"": 0.2, ""dtw_trade_flow_similarity_graph"": 0.2, ""volume_expansion_graph"": 0.075, ""large_trade_alignment_graph"": 0.075}, ""consensus_score"": 0.4, ""source_layers"": [""dtw_return_similarity_graph"", ""dtw_trade_flow_similarity_graph""]}",keep,
